name,score,k
small35.in,59083.55792167092,10
small36.in,368917.3688118974,13
small37.in,37779.00700880904,10
small38.in,131939.9091877683,11
small39.in,1219.2493960703473,5
small4.in,129058.90918776828,11
small40.in,94897.29863605792,11
small41.in,224346.01581064696,12
small42.in,121739.14243574018,11
small43.in,402517.3688118974,13
small44.in,135192.41592657613,14
small45.in,224346.01581064696,12
small46.in,402203.3688118974,13
small47.in,27003.64785724123,11
small48.in,132834.14243574018,12
small49.in,126531.14243574018,11
small5.in,30483.36969444755,8
small50.in,121671.14243574018,11
small51.in,3476.2003861040653,8
small52.in,97316.41592657616,12
small53.in,114471.14243574018,11
small54.in,50388.464450791966,10
small55.in,92368.87060139078,9
small56.in,2010.797760513228,6
small57.in,8175.963543848693,8
small58.in,3313.8538391484385,7
small59.in,402517.3688118974,13
small6.in,5600.9543205838445,8
small60.in,402517.3688118974,13
small61.in,70437.23848589804,11
small62.in,134783.49323151435,11
small63.in,4995.204486944198,7
small64.in,16619.371110224518,10
small65.in,22480.8706013908,10
small66.in,200346.01581064696,12
small67.in,194530.41592657613,12
small68.in,21366.99249281178,9
small69.in,739.905609893065,4
small7.in,262867.01581064693,12
small70.in,5462.506101865784,8
small71.in,270888.01581064693,12
small72.in,7046.36969444755,8
small73.in,34945.55792167092,10
small74.in,142636.49323151435,11
small75.in,402517.3688118974,13
small76.in,129228.48951581027,11
small77.in,13242.63481556219,8
small78.in,224346.01581064696,12
small79.in,29984.36092655662,8
small8.in,102647.49323151434,11
small80.in,75326.90918776828,11
small81.in,60615.64785724149,9
small82.in,162896.01581064696,12
small83.in,3313.8538391474267,7
small84.in,3313.853839147459,7
small85.in,5600.954320584076,8
small86.in,2174.568535877018,6
small87.in,7260.283972521378,7
small88.in,33142.870601390794,10
small89.in,95248.49323151434,11
small9.in,162538.01581064696,11
small90.in,402517.3688118974,13
small91.in,3074.568535876762,6
small92.in,271913.01581064693,12
small93.in,75720.48951581027,11
small94.in,27842.31591025766,10
small95.in,86924.73116024464,12
small96.in,272.8281828459045,2
small97.in,13003.647857241496,9
small98.in,4271.279967678277,7
small99.in,3313.853839147599,7
